PIZZA 3800 100
PIZZA 3700 100
PIZZA 3600 100
/////////////////
PIZZA 2396 464
PIZZA 2454 208
PIZZA 210 1616
PIZZA 906 1808
PIZZA 1735 656
PIZZA 1676 592
PIZZA 1990 656
PIZZA 2060 592
SUPER_PIZZA 2870 2500
PLATFORM 1830 720 1830 200
PLATFORM 740 1808 740 450
SPIKES 135 1488 0
SPIKES 462 848 0
SPIKES 320 976 0
SPIKES 202 1104 0
SPIKES 1290 848 1
ENEMY 1096 464 1.5 150
ENEMY 1552 464 1.5 150
ENEMY 2194 464 1.5 100
ENEMY 2194 208 1.5 100
ENEMY 857 208 1.5 150
ENEMY 1488 208 2.5 200
ENEMY 396 1808 4.5 300
GRASS 912 656
GRASS 584 656
GRASS 640 656
GRASS 281 280
GRASS 261 280
GRASS 239 280
GRASS 325 280
GRASS 156 280
GRASS 462 280
PIPE 1100 208
